Название,Дата,Место,Жанр,Ссылка
Благотворительный концерт,7 апреля в 21:00," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/blagotvoritelniy-koncert-2236607/
Ананасовая проверка Леши Соловьева,26 марта 9 и 23 апреля," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/ananasovaya-proverka-leshi-soloveva-2233402/
Варвара Щербакова,12 сентября в 20:00," ДК им. Калинина",Юмор,https://www.afisha.ru/concert/varvara-shcherbakova-2238270/
Мужской Stand Up,Апрель," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/muzhskoy-stand-up-2215444/
Валера Киракосьян - сольный концерт,23 марта в 18:00," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/valera-kirakosyan-solniy-koncert-2238255/
Валентин Сидоров,27 апреля в 19:00," ДК тепловозостроителей",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2237775/
Тимур Джанкёзов. StandUp. Сольный концерт,30 марта в 16:30," Club №1",Юмор,https://www.afisha.ru/concert/timur-dzhankyozov-standup-solniy-koncert-2213246/
Stand Up во вторник,19 и 26 марта," Standup Brothers",Юмор,https://www.afisha.ru/concert/stand-up-vo-vtornik-2249817/
Самые известные комики,7 апреля в 20:30," КДК «Большевик»",Юмор,https://www.afisha.ru/concert/samye-izvestnye-komiki-2248423/
Александр Бедняков,29 марта в 19:00," Petter",Юмор,https://www.afisha.ru/concert/aleksandr-bednyakov-2249670/
Пятничный Stand Up,29 марта в 19:00," Standup Brothers",Юмор,https://www.afisha.ru/concert/pyatnichniy-stand-up-2188460/
Иван Половинкин,1 апреля в 20:00," Petter",Юмор,https://www.afisha.ru/concert/ivan-polovinkin-2237644/
Яркая ночь стендапа,30 марта в 23:00," Standup Brothers",Юмор,https://www.afisha.ru/concert/yarkaya-noch-stendapa-2249823/
Сергей Молчанов,30 марта в 17:00," Petter",Юмор,https://www.afisha.ru/concert/sergey-molchanov-2249667/
Николай Андреев - Stand Up концерт,24 марта в 21:00," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/nikolay-andreev-stand-up-koncert-2250016/
Импровизационное шоу. Есть приятное обстоятельство,18 и 30 марта," Standup Café",Юмор,https://www.afisha.ru/concert/improvizacionnoe-shou-est-priyatnoe-obstoyatelstvo-2250391/
Никита Дубровский. Stand Up концерт,20 марта в 21:30," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/nikita-dubrovskiy-stand-up-koncert-2223197/
Сергей Молчанов,18 марта в 21:00," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/sergey-molchanov-2248531/
Валентин Сидоров. StandUp,6 апреля в 17:00," Club №1",Юмор,https://www.afisha.ru/concert/valentin-sidorov-standup-2250489/
Валентин Сидоров,22 апреля в 19:30," ДК им. Калинина",Юмор,https://www.afisha.ru/concert/valentin-sidorov-2237539/
ImproCats. Выпускной импровизации,24 и 31 марта 7 апреля," Ритм-блюз",Юмор,https://www.afisha.ru/concert/improcats-vypuskniy-improvizacii-2212336/
Хедлайнер шоу,23 марта в 23:00," Standup Brothers",Юмор,https://www.afisha.ru/concert/hedlayner-shou-2248856/
Гурам Амарян. StandUp. Сольный концерт,1 и 2 апреля," Club №1",Юмор,https://www.afisha.ru/concert/guram-amaryan-standup-solniy-koncert-2159658/
Настя Веневитина,23 апреля в 20:00," Stand Up Патрики",Юмор,https://www.afisha.ru/concert/nastya-venevitina-2217640/
Егор Свирский. Stand Up концерт,27 апреля в 19:30," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/egor-svirskiy-stand-up-koncert-2223194/
Евгений Хоньяков - проверочный Stand Up концерт,20 апреля в 19:30," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/evgeniy-honyakov-proverochniy-stand-up-koncert-2235481/
Саша Малой,21 апреля в 21:00," Standup Club на Трубной",Юмор,https://www.afisha.ru/concert/sasha-maloy-2219502/
